#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-04-29T22:56:20 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5cc604a26b63	
#INFO	-out.max=unlimited	
#INFO	queryParameters=7	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:V/19&tab:{V/19/data}&key:source=V/19/data&HTTPPRM:&&-ref=VIZ5cc604a26b63&-file=.&-oc.form=sexa&-order=I&-out.form=verb&-out=Cl&-out=N&-out=ID&-out=B-V&-out=Vmag&-out=LC&-out=log.Teff&-out=logL&-out=Age&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&
#-source=V/19/data
#-order=I
#-out=log.Teff
#-out=logL
#

#RESOURCE=yCat_5019
#Name: V/19
#Title: Masses and Ages of Stars in 68 Open Clusters (Piskunov 1980)
#Table	V_19_data:
#Name: V/19/data
#Title: Data for individual stars
#Column	log.Teff	(F6.3)	Logarithm of effective temperature	[ucd=phys.temperature.effective]
#Column	logL	(F5.2)	Logarithm of luminosity	[ucd=phys.luminosity]
log.Teff;logL
 3.784; 0.42
 3.791; 0.41
 3.825; 0.40
 3.770; 0.42
 3.791; 0.41
 3.795; 0.40
 3.828; 0.39
 3.819; 0.39
 3.819; 0.39
 3.828; 0.38
 3.809; 0.39
 3.770; 0.41
 3.770; 0.41
 3.770; 0.41
 3.764; 0.41
 3.800; 0.39
 3.789; 0.39
 3.800; 0.39
 3.761; 0.41
 3.780; 0.40
 3.780; 0.40
 3.780; 0.40
 3.803; 0.38
 3.764; 0.40
 3.791; 0.39
 3.791; 0.38
 3.816; 0.37
 3.775; 0.39
 3.775; 0.39
 3.775; 0.39
 3.813; 0.37
 3.775; 0.39
 3.775; 0.39
 3.775; 0.39
 3.798; 0.38
 3.777; 0.39
 3.777; 0.39
 3.777; 0.39
 3.800; 0.37
 3.813; 0.37
 3.786; 0.38
 3.766; 0.39
 3.791; 0.37
 3.816; 0.36
 3.795; 0.37
 3.791; 0.37
 3.809; 0.35
 3.816; 0.35
 3.780; 0.36
 3.822; 0.34
 3.806; 0.35
 3.800; 0.35
 3.773; 0.36
 3.773; 0.36
 3.773; 0.36
 3.819; 0.34
 3.819; 0.33
 3.766; 0.36
 3.766; 0.36
 3.766; 0.36
 3.800; 0.32
 3.803; 0.32
 3.813; 0.32
 3.803; 0.31
 4.267; 3.70
 4.267; 3.70
 4.375; 3.73
 4.375; 3.73
 4.300; 3.50
 4.300; 3.50
 4.283; 3.42
 4.283; 3.42
 4.283; 3.42
 4.283; 3.42
 4.300; 3.42
 4.300; 3.42
 4.350; 3.53
 4.350; 3.53
 4.283; 3.33
 4.283; 3.33
 4.250; 2.98
 4.250; 2.98
 4.225; 2.90
 4.225; 2.90
 4.267; 2.99
 4.267; 2.99
 4.133; 2.59
 4.133; 2.59
 4.133; 2.59
 4.133; 2.59
 4.238; 2.80
 4.238; 2.80
 4.212; 2.73
 4.212; 2.73
 4.200; 2.59
 4.200; 2.59
 4.167; 2.48
 4.167; 2.48
 4.200; 2.52
 4.200; 2.52
 4.212; 2.49
 4.212; 2.49
 4.167; 2.33
 4.167; 2.33
 4.133; 2.23
 4.133; 2.23
 4.062; 1.94
 4.062; 1.94
 4.100; 1.89
 4.100; 1.89
 4.000; 1.72
 4.000; 1.72
 4.000; 1.72
 4.000; 1.72
 4.075; 1.78
 4.075; 1.78
 4.087; 1.78
 4.087; 1.78
 4.183; 1.99
 4.020; 1.57
 4.020; 1.57
 4.075; 1.64
 4.075; 1.64
 4.050; 1.53
 4.050; 1.53
 4.100; 1.62
 4.040; 1.43
 4.040; 1.43
 4.030; 1.39
 4.030; 1.39
 4.010; 1.33
 4.010; 1.33
 4.030; 1.35
 4.030; 1.35
 4.030; 1.32
 3.988; 1.09
 3.676; 2.11
 3.676; 2.11
 3.676; 2.11
 3.900; 1.81
 3.941; 1.81
 3.713; 1.81
 3.704; 1.80
 3.877; 1.69
 3.918; 1.62
 3.918; 1.61
 3.936; 1.56
 3.923; 1.54
 3.941; 1.54
 3.941; 1.54
 3.941; 1.54
 3.905; 1.43
 3.932; 1.45
 3.932; 1.45
 3.932; 1.45
 3.923; 1.44
 3.923; 1.44
 3.923; 1.44
 3.918; 1.43
 3.932; 1.34
 3.941; 1.34
 3.905; 1.32
 3.905; 1.32
 3.905; 1.32
 3.896; 1.30
 3.877; 1.28
 3.927; 1.30
 3.956; 1.32
 3.936; 1.25
 3.927; 1.23
 3.905; 1.21
 3.914; 1.17
 3.914; 1.14
 3.927; 1.14
 3.927; 1.10
 3.896; 1.04
 3.721; 2.65
 3.721; 2.65
 3.721; 2.65
 3.762; 2.54
 3.762; 2.54
 3.762; 2.54
 3.675; 2.67
 3.675; 2.67
 3.675; 2.67
 4.062; 2.56
 3.969; 2.40
 4.040; 2.47
 4.212; 2.84
 3.975; 2.36
 4.010; 2.38
 4.020; 2.39
 4.117; 2.53
 4.075; 2.41
 4.075; 2.40
 4.075; 2.40
 4.075; 2.40
 4.100; 2.44
 4.000; 2.25
 4.030; 2.25
 3.981; 2.06
 3.963; 2.02
 3.694; 2.06
 3.694; 2.06
 3.694; 2.06
 4.133; 2.27
 4.040; 2.08
 3.981; 1.96
 4.000; 1.98
 4.062; 2.05
 4.050; 2.01
 4.040; 1.95
 3.981; 1.82
 3.988; 1.82
 3.988; 1.82
 3.988; 1.82
 3.981; 1.79
 3.981; 1.79
 3.981; 1.79
 3.975; 1.78
 4.020; 1.83
 4.040; 1.86
 3.988; 1.76
 3.981; 1.74
 3.981; 1.74
 3.981; 1.74
 4.050; 1.84
 4.000; 1.76
 3.988; 1.73
 3.932; 1.66
 3.975; 1.70
 3.975; 1.70
 3.975; 1.70
 4.010; 1.73
 3.923; 1.62
 3.923; 1.60
 4.000; 1.68
 3.956; 1.58
 3.956; 1.58
 3.956; 1.58
 3.941; 1.56
 3.988; 1.61
 3.918; 1.53
 3.950; 1.54
 3.950; 1.54
 3.950; 1.54
 3.900; 1.50
 3.969; 1.47
 3.923; 1.40
 3.923; 1.40
 3.923; 1.40
 3.936; 1.39
 3.927; 1.36
 3.945; 1.28
 3.877; 1.21
 3.877; 1.19
 3.862; 1.17
 3.888; 1.17
 3.888; 1.17
 3.888; 1.17
 3.854; 1.15
 3.837; 1.15
 3.862; 1.14
 3.841; 1.12
 3.950; 1.16
 3.896; 1.08
 3.877; 1.05
 3.844; 1.05
 3.888; 1.03
 3.877; 1.00
 3.865; 1.00
 3.865; 1.00
 3.865; 1.00
 3.877; 0.98
 3.909; 0.97
 3.877; 0.95
 3.862; 0.94
 3.900; 0.89
 3.892; 0.87
 3.865; 0.81
 3.885; 0.80
 3.847; 0.79
 3.869; 0.78
 3.844; 0.74
 4.302; 3.59
 4.290; 3.52
 4.263; 3.42
 4.305; 3.49
 4.283; 3.43
 4.225; 3.26
 4.225; 3.26
 4.225; 3.26
 4.211; 3.11
 4.231; 3.12
 4.280; 3.18
 4.220; 2.97
 4.260; 3.03
 4.240; 2.84
 4.117; 2.51
 4.202; 2.63
 4.212; 2.66
 4.163; 2.53
 4.183; 2.57
 4.155; 2.49
 4.188; 2.55
 4.227; 2.57
 4.143; 2.25
 4.081; 2.10
 4.167; 2.25
 4.140; 2.13
 4.018; 1.86
 4.147; 2.11
 4.112; 1.97
 4.110; 1.93
 4.117; 1.92
 4.016; 1.71
 4.085; 1.81
 4.062; 1.74
 4.065; 1.72
 4.008; 1.57
 3.961; 1.50
 4.031; 1.58
 3.835; 2.51
 3.835; 2.51
 3.642; 2.71
 3.642; 2.71
 3.642; 2.71
 3.642; 2.71
 3.642; 2.71
 3.642; 2.71
 3.666; 2.56
 3.666; 2.56
 3.666; 2.56
 3.666; 2.56
 3.666; 2.56
 3.666; 2.56
 3.666; 2.50
 3.666; 2.50
 3.666; 2.50
 3.666; 2.50
 3.666; 2.50
 3.666; 2.50
 3.711; 2.40
 3.711; 2.40
 3.711; 2.40
 3.711; 2.40
 3.711; 2.40
 3.711; 2.40
 3.905; 2.16
 3.905; 2.16
 3.905; 2.16
 3.719; 2.17
 3.719; 2.17
 3.719; 2.17
 3.719; 2.17
 3.719; 2.17
 3.719; 2.17
 3.787; 2.02
 3.787; 2.02
 3.761; 2.03
 3.761; 2.03
 3.738; 2.04
 3.738; 2.04
 3.729; 2.05
 3.729; 2.05
 3.712; 1.99
 3.712; 1.99
 3.975; 1.96
 3.975; 1.96
 3.918; 1.89
 3.918; 1.89
 3.918; 1.89
 3.932; 1.88
 3.932; 1.88
 3.932; 1.88
 3.918; 1.81
 3.918; 1.81
 3.918; 1.81
 3.981; 1.87
 3.994; 1.87
 3.994; 1.87
 3.994; 1.87
 3.994; 1.87
 3.994; 1.87
 3.994; 1.87
 3.994; 1.87
 3.994; 1.87
 3.994; 1.87
 3.945; 1.81
 3.945; 1.81
 3.945; 1.81
 3.936; 1.77
 3.936; 1.77
 4.020; 1.87
 4.020; 1.87
 3.981; 1.81
 3.936; 1.76
 3.981; 1.81
 3.981; 1.81
 3.936; 1.76
 3.936; 1.76
 3.923; 1.71
 3.923; 1.71
 3.923; 1.71
 4.030; 1.83
 4.030; 1.83
 3.981; 1.76
 3.981; 1.76
 3.981; 1.76
 4.030; 1.83
 3.981; 1.76
 3.981; 1.76
 3.981; 1.76
 4.050; 1.85
 4.050; 1.85
 4.050; 1.85
 3.975; 1.73
 3.975; 1.73
 3.975; 1.73
 3.975; 1.73
 3.975; 1.73
 3.975; 1.73
 3.975; 1.73
 3.975; 1.73
 3.975; 1.73
 3.950; 1.69
 3.950; 1.69
 3.950; 1.69
 4.020; 1.78
 4.020; 1.78
 3.923; 1.64
 3.923; 1.64
 3.923; 1.64
 3.945; 1.65
 3.945; 1.65
 4.010; 1.72
 4.010; 1.72
 4.010; 1.72
 3.994; 1.69
 3.994; 1.69
 3.994; 1.69
 4.040; 1.70
 4.040; 1.70
 4.040; 1.70
 3.981; 1.60
 3.981; 1.60
 3.981; 1.60
 4.000; 1.62
 4.000; 1.62
 4.000; 1.62
 3.945; 1.49
 3.945; 1.49
 3.945; 1.49
 3.918; 1.44
 3.918; 1.44
 3.918; 1.44
 3.969; 1.45
 3.969; 1.45
 3.945; 1.42
 3.945; 1.42
 3.945; 1.42
 3.969; 1.45
 3.945; 1.40
 3.927; 1.38
 3.927; 1.38
 3.869; 1.34
 3.869; 1.34
 3.869; 1.34
 3.932; 1.33
 3.932; 1.33
 3.932; 1.33
 3.909; 1.30
 3.909; 1.30
 3.909; 1.30
 3.914; 1.30
 3.914; 1.30
 3.914; 1.30
 3.914; 1.30
 3.914; 1.30
 3.914; 1.30
 3.909; 1.30
 3.909; 1.30
 3.909; 1.30
 3.909; 1.30
 3.909; 1.30
 3.909; 1.30
 3.914; 1.30
 3.914; 1.30
 3.914; 1.30
 3.896; 1.26
 3.896; 1.26
 3.896; 1.26
 3.896; 1.26
 3.896; 1.26
 3.896; 1.26
 3.881; 1.24
 3.881; 1.24
 3.881; 1.24
 3.918; 1.25
 3.918; 1.25
 3.927; 1.26
 3.873; 1.23
 3.873; 1.23
 3.927; 1.26
 3.927; 1.25
 3.927; 1.25
 3.945; 1.25
 3.945; 1.25
 3.900; 1.22
 3.900; 1.22
 3.900; 1.22
 3.900; 1.22
 3.900; 1.22
 3.900; 1.22
 3.900; 1.22
 3.900; 1.22
 3.900; 1.22
 3.936; 1.20
 3.936; 1.20
 3.936; 1.17
 3.936; 1.17
 3.963; 1.18
 3.963; 1.18
 3.963; 1.18
 3.936; 1.15
 3.936; 1.15
 3.932; 1.13
 3.932; 1.13
 3.932; 1.13
 3.918; 1.09
 3.918; 1.09
 3.881; 1.06
 3.896; 1.05
 3.896; 1.05
 3.896; 1.05
 3.825; 1.04
 3.825; 1.04
 3.825; 1.04
 3.981; 1.11
 3.981; 1.11
 3.981; 1.11
 3.914; 1.04
 3.914; 1.04
 3.877; 1.01
 3.877; 1.01
 3.877; 1.01
 3.825; 1.00
 3.825; 1.00
 3.825; 1.00
 3.869; 0.98
 3.885; 0.98
 3.885; 0.98
 3.885; 0.98
 3.932; 0.99
 3.932; 0.99
 3.932; 0.99
 3.892; 0.96
 3.927; 0.98
 3.927; 0.98
 3.892; 0.96
 3.892; 0.96
 3.927; 0.98
 3.806; 0.95
 3.806; 0.95
 3.806; 0.95
 3.854; 0.94
 3.854; 0.94
 3.854; 0.94
 3.854; 0.94
 3.854; 0.94
 3.854; 0.94
 3.892; 0.94
 3.892; 0.94
 3.892; 0.94
 3.854; 0.90
 3.854; 0.90
 3.854; 0.90
 3.831; 0.91
 3.831; 0.91
 3.831; 0.91
 3.914; 0.91
 3.914; 0.91
 3.914; 0.91
 3.837; 0.88
 3.837; 0.88
 3.837; 0.88
 3.837; 0.88
 3.837; 0.88
 3.837; 0.88
 3.896; 0.88
 3.896; 0.88
 3.900; 0.87
 3.900; 0.87
 3.900; 0.87
 3.881; 0.82
 3.881; 0.82
 3.869; 0.81
 3.869; 0.81
 3.850; 0.81
 3.869; 0.81
 3.850; 0.81
 3.862; 0.76
 3.862; 0.76
 3.862; 0.76
 3.945; 0.76
 3.945; 0.76
 3.865; 0.72
 3.865; 0.72
 3.795; 0.67
 3.795; 0.67
 3.869; 0.65
 3.869; 0.65
 3.877; 0.58
 3.877; 0.58
 3.847; 0.55
 3.869; 0.56
 3.847; 0.55
 3.847; 0.55
 3.869; 0.56
 3.766; 0.53
 3.766; 0.53
 3.869; 0.48
 3.869; 0.48
 4.075; 2.92
 4.050; 2.64
 4.087; 2.63
 4.040; 2.45
 4.075; 2.50
 4.050; 2.41
 4.020; 2.35
 3.956; 2.25
 4.000; 2.22
 4.040; 2.22
 3.981; 2.09
 3.988; 2.08
 4.020; 2.10
 4.225; 2.53
 4.087; 2.19
 4.040; 2.09
 3.981; 1.99
 3.969; 1.97
 4.000; 2.01
 3.969; 1.96
 3.988; 1.99
 3.975; 1.96
 4.250; 2.50
 4.030; 2.01
 4.020; 1.99
 4.020; 1.99
 4.020; 1.99
 3.994; 1.90
 3.969; 1.86
 3.981; 1.87
 4.000; 1.89
 4.000; 1.89
 4.000; 1.89
 4.000; 1.87
 4.000; 1.87
 4.000; 1.87
 4.010; 1.88
 3.988; 1.84
 3.988; 1.84
 3.988; 1.84
 3.969; 1.81
 3.956; 1.79
 4.000; 1.84
 3.981; 1.81
 3.994; 1.82
 3.994; 1.82
 3.994; 1.82
 4.010; 1.84
 3.981; 1.79
 3.981; 1.79
 3.981; 1.79
 3.956; 1.76
 3.988; 1.79
 3.988; 1.79
 3.988; 1.79
 3.994; 1.79
 3.941; 1.72
 3.956; 1.71
 3.923; 1.67
 3.981; 1.72
 3.918; 1.65
 3.950; 1.67
 3.975; 1.69
 3.975; 1.69
 3.975; 1.69
 3.975; 1.68
 3.975; 1.68
 3.975; 1.68
 4.000; 1.72
 3.981; 1.69
 3.981; 1.67
 3.927; 1.58
 3.950; 1.59
 3.950; 1.59
 3.950; 1.59
 4.000; 1.64
 3.945; 1.56
 3.945; 1.56
 3.945; 1.56
 3.969; 1.58
 3.945; 1.53
 3.945; 1.53
 3.945; 1.53
 3.994; 1.59
 3.956; 1.54
 3.927; 1.50
 3.994; 1.57
 3.950; 1.50
 3.914; 1.47
 3.981; 1.54
 3.969; 1.50
 3.981; 1.51
 3.950; 1.46
 3.927; 1.44
 3.927; 1.44
 3.927; 1.44
 3.932; 1.43
 3.932; 1.43
 3.932; 1.43
 3.941; 1.43
 3.981; 1.48
 3.975; 1.46
 3.945; 1.42
 3.896; 1.38
 3.914; 1.37
 3.914; 1.37
 3.914; 1.37
 3.936; 1.39
 3.941; 1.39
 3.923; 1.37
 3.923; 1.37
 3.923; 1.37
 3.950; 1.38
 3.941; 1.36
 3.927; 1.34
 3.909; 1.33
 3.909; 1.33
 3.909; 1.33
 3.945; 1.35
 3.927; 1.33
 3.950; 1.32
 3.932; 1.31
 3.932; 1.31
 3.932; 1.30
 3.941; 1.29
 3.885; 1.26
 3.909; 1.26
 3.932; 1.27
 3.900; 1.23
 3.900; 1.23
 3.900; 1.23
 3.969; 1.29
 3.923; 1.23
 3.950; 1.24
 3.963; 1.25
 3.918; 1.20
 3.936; 1.21
 3.945; 1.22
 3.923; 1.19
 3.927; 1.19
 3.877; 1.17
 3.936; 1.19
 3.941; 1.18
 3.865; 1.15
 3.888; 1.15
 3.888; 1.15
 3.888; 1.15
 3.927; 1.17
 3.858; 1.14
 3.885; 1.14
 3.885; 1.14
 3.885; 1.14
 3.918; 1.15
 3.909; 1.15
 3.923; 1.14
 3.936; 1.14
 3.927; 1.13
 3.918; 1.12
 3.909; 1.11
 3.881; 1.10
 3.881; 1.10
 3.881; 1.10
 3.941; 1.13
 3.927; 1.11
 3.918; 1.11
 3.927; 1.11
 3.914; 1.09
 3.888; 1.07
 3.914; 1.09
 3.909; 1.07
 3.844; 1.06
 3.905; 1.07
 3.881; 1.04
 3.896; 1.04
 3.905; 1.04
 3.909; 1.04
 3.927; 1.05
 3.909; 1.03
 3.885; 1.02
 3.909; 1.02
 3.854; 1.00
 3.854; 1.00
 3.854; 1.00
 3.909; 1.01
 3.896; 0.99
 3.885; 0.99
 3.888; 0.98
 3.900; 0.98
 3.896; 0.97
 3.896; 0.96
 3.923; 0.97
 3.914; 0.97
 3.718; 1.03
 3.918; 0.95
 3.881; 0.92
 3.873; 0.92
 3.888; 0.91
 3.888; 0.91
 3.905; 0.91
 3.885; 0.88
 3.847; 0.87
 3.885; 0.87
 3.837; 0.87
 3.837; 0.87
 3.837; 0.87
 3.892; 0.87
 3.837; 0.86
 3.837; 0.86
 3.837; 0.86
 3.892; 0.86
 3.850; 0.85
 3.892; 0.85
 3.881; 0.85
 3.865; 0.83
 3.900; 0.84
 3.862; 0.83
 3.784; 0.85
 3.831; 0.83
 3.831; 0.83
 3.831; 0.83
 3.873; 0.82
 3.720; 0.89
 3.869; 0.81
 3.862; 0.79
 3.873; 0.79
 3.791; 0.81
 3.865; 0.78
 3.869; 0.78
 3.844; 0.78
 3.819; 0.79
 3.819; 0.79
 3.819; 0.79
 3.831; 0.76
 3.831; 0.76
 3.831; 0.76
 3.892; 0.75
 3.800; 0.76
 3.869; 0.75
 3.869; 0.75
 3.841; 0.74
 3.927; 0.77
 3.869; 0.74
 3.885; 0.73
 3.854; 0.72
 3.822; 0.72
 3.822; 0.72
 3.822; 0.72
 3.850; 0.70
 3.865; 0.70
 3.858; 0.70
 3.865; 0.70
 3.834; 0.70
 3.877; 0.70
 3.822; 0.70
 3.822; 0.70
 3.822; 0.70
 3.819; 0.70
 3.819; 0.70
 3.819; 0.70
 3.800; 0.70
 3.798; 0.68
 3.862; 0.67
 3.881; 0.66
 3.896; 0.66
 3.850; 0.65
 3.873; 0.65
 3.844; 0.64
 3.828; 0.65
 3.881; 0.64
 3.847; 0.62
 3.828; 0.62
 3.834; 0.62
 3.834; 0.62
 3.854; 0.61
 3.900; 0.62
 3.847; 0.60
 3.862; 0.60
 3.850; 0.60
 3.896; 0.60
 3.885; 0.60
 3.877; 0.60
 3.923; 0.62
 3.841; 0.58
 3.828; 0.58
 3.816; 0.59
 3.854; 0.58
 3.806; 0.59
 3.806; 0.59
 3.806; 0.59
 3.831; 0.57
 3.822; 0.58
 3.828; 0.57
 3.831; 0.57
 3.877; 0.56
 3.858; 0.55
 3.809; 0.56
 3.813; 0.55
 3.813; 0.55
 3.834; 0.54
 3.813; 0.54
 3.819; 0.54
 3.854; 0.53
 3.809; 0.54
 3.892; 0.52
 3.847; 0.52
 3.865; 0.52
 3.885; 0.52
 3.841; 0.51
 3.850; 0.50
 3.813; 0.51
 3.813; 0.50
 3.809; 0.49
 3.806; 0.47
 3.813; 0.47
 3.828; 0.46
 3.806; 0.46
 3.793; 0.46
 3.822; 0.45
 3.777; 0.46
 3.777; 0.46
 3.777; 0.46
 3.813; 0.44
 3.892; 0.43
 3.809; 0.44
 3.798; 0.44
 3.881; 0.43
 3.828; 0.43
 3.806; 0.42
 3.862; 0.41
 3.806; 0.41
 3.813; 0.41
 3.789; 0.41
 3.837; 0.39
 3.837; 0.38
 3.822; 0.39
 3.806; 0.39
 3.819; 0.38
 3.844; 0.37
 3.759; 0.41
 3.793; 0.38
 3.828; 0.37
 3.793; 0.38
 3.914; 0.37
 3.819; 0.36
 3.822; 0.36
 3.825; 0.35
 3.793; 0.35
 3.881; 0.34
 3.869; 0.34
 3.816; 0.34
 3.885; 0.33
 3.793; 0.34
 3.847; 0.32
 3.841; 0.32
 3.825; 0.32
 3.825; 0.32
 3.761; 0.35
 3.828; 0.31
 3.798; 0.32
 3.825; 0.31
 3.896; 0.30
 3.850; 0.29
 3.825; 0.30
 3.803; 0.30
 3.773; 0.32
 3.816; 0.29
 3.816; 0.29
 3.793; 0.30
 3.841; 0.28
 3.795; 0.28
 3.752; 0.30
 3.789; 0.28
 3.837; 0.26
 3.761; 0.29
 3.761; 0.29
 3.761; 0.29
 3.896; 0.26
 3.803; 0.26
 3.837; 0.25
 3.816; 0.25
 3.809; 0.25
 3.809; 0.25
 3.784; 0.26
 3.813; 0.25
 3.793; 0.24
 3.757; 0.26
 3.757; 0.26
 3.757; 0.26
 3.789; 0.24
 3.881; 0.22
 3.793; 0.22
 3.806; 0.21
 3.816; 0.20
 3.905; 0.20
 3.828; 0.19
 3.854; 0.17
 3.841; 0.17
 3.795; 0.18
 3.798; 0.18
 3.803; 0.17
 3.854; 0.15
 3.786; 0.16
 3.795; 0.15
 3.858; 0.13
 3.806; 0.13
 3.782; 0.15
 3.847; 0.11
 3.800; 0.09
 3.806; 0.09
 3.798; 0.07
 3.800; 0.06
 3.800; 0.06
 3.813; 0.04
 4.300; 3.37
 4.300; 3.37
 4.300; 3.19
 4.300; 3.19
 4.267; 3.04
 4.267; 3.04
 4.133; 2.56
 4.133; 2.56
 4.133; 2.56
 4.133; 2.56
 4.212; 2.67
 4.212; 2.67
 4.283; 2.74
 4.238; 2.60
 4.238; 2.60
 4.238; 2.58
 4.238; 2.58
 3.927; 1.96
 3.927; 1.96
 4.183; 2.39
 4.183; 2.39
 4.000; 2.00
 4.000; 2.00
 3.956; 1.70
 3.956; 1.70
 4.183; 2.13
 4.075; 1.86
 4.075; 1.86
 3.963; 1.67
 3.963; 1.67
 4.062; 1.80
 4.062; 1.80
 4.150; 1.98
 4.183; 2.05
 4.010; 1.67
 4.010; 1.67
 4.010; 1.67
 4.010; 1.67
 4.133; 1.87
 3.865; 1.46
 3.865; 1.46
 3.927; 1.43
 3.927; 1.43
 4.030; 1.50
 4.030; 1.50
 4.030; 1.46
 4.030; 1.46
 4.075; 1.53
 3.786; 1.31
 3.786; 1.31
 3.918; 1.31
 3.918; 1.31
 3.873; 1.29
 3.873; 1.29
 4.050; 1.44
 4.050; 1.44
 3.956; 1.28
 3.956; 1.28
 4.010; 1.34
 4.010; 1.34
 3.865; 1.18
 3.865; 1.18
 3.617; 1.50
 3.617; 1.50
 3.617; 1.50
 3.617; 1.50
 3.770; 1.18
 3.770; 1.18
 3.828; 1.13
 3.828; 1.13
 3.858; 1.09
 3.858; 1.09
 3.905; 1.07
 3.905; 1.07
 3.905; 1.07
 3.905; 1.07
 3.809; 1.02
 3.809; 1.02
 3.793; 0.95
 3.793; 0.95
 3.775; 0.95
 3.775; 0.95
 3.803; 0.87
 3.803; 0.87
 3.777; 0.83
 3.777; 0.83
 3.708; 0.81
 3.708; 0.81
 3.773; 0.73
 3.773; 0.73
 3.768; 0.73
 3.768; 0.73
 3.784; 0.71
 3.784; 0.71
 3.644; 0.91
 3.644; 0.91
 3.644; 0.91
 3.644; 0.91
 3.736; 0.71
 3.736; 0.71
 3.668; 0.78
 3.668; 0.78
 3.668; 0.78
 3.668; 0.78
 3.813; 0.60
 3.813; 0.60
 3.743; 0.64
 3.743; 0.64
 3.858; 0.55
 3.858; 0.55
 3.766; 0.54
 3.766; 0.54
 3.759; 0.52
 3.759; 0.52
 3.696; 0.59
 3.696; 0.59
 3.662; 0.63
 3.662; 0.63
 3.662; 0.63
 3.662; 0.63
 3.816; 0.43
 3.816; 0.43
 3.709; 0.50
 3.709; 0.50
 3.941; 0.43
 3.712; 0.44
 3.712; 0.44
 3.708; 0.45
 3.708; 0.45
 3.791; 0.37
 3.791; 0.37
 3.841; 0.34
 3.777; 0.36
 3.777; 0.36
 3.782; 0.36
 3.782; 0.36
 3.693; 0.44
 3.693; 0.44
 3.693; 0.44
 3.693; 0.44
 3.736; 0.37
 3.736; 0.37
 3.757; 0.34
 3.757; 0.34
 3.638; 0.57
 3.638; 0.57
 3.638; 0.57
 3.638; 0.57
 3.752; 0.34
 3.752; 0.34
 3.743; 0.34
 3.743; 0.34
 3.340; 2.32
 3.780; 0.28
 3.780; 0.28
 3.741; 0.28
 3.741; 0.28
 3.684; 0.37
 3.684; 0.37
 3.684; 0.37
 3.684; 0.37
 3.648; 0.46
 3.648; 0.46
 3.648; 0.46
 3.648; 0.46
 3.674; 0.38
 3.674; 0.38
 3.674; 0.38
 3.674; 0.38
 3.773; 0.24
 3.773; 0.24
 3.690; 0.34
 3.690; 0.34
 3.690; 0.34
 3.690; 0.34
 3.768; 0.23
 3.768; 0.23
 3.665; 0.37
 3.665; 0.37
 3.665; 0.37
 3.665; 0.37
 3.761; 0.20
 3.761; 0.20
 3.695; 0.28
 3.695; 0.28
 3.695; 0.28
 3.695; 0.28
 3.743; 0.20
 3.743; 0.20
 3.770; 0.16
 3.770; 0.16
 3.734; 0.17
 3.734; 0.17
 3.661; 0.30
 3.661; 0.30
 3.661; 0.30
 3.661; 0.30
 3.685; 0.24
 3.685; 0.24
 3.685; 0.24
 3.685; 0.24
 3.718; 0.17
 3.718; 0.17
 3.698; 0.20
 3.698; 0.20
 3.698; 0.20
 3.698; 0.20
 3.633; 0.35
 3.633; 0.35
 3.633; 0.35
 3.633; 0.35
 3.825; 0.08
 3.757; 0.10
 3.757; 0.10
 3.752; 0.08
 3.752; 0.08
 3.789; 0.04
 3.777; 0.04
 3.777; 0.04
 3.768; 0.02
 3.768; 0.02
 3.757; 0.03
 3.757; 0.03
 3.680; 0.13
 3.680; 0.13
 3.680; 0.13
 3.680; 0.13
 3.700; 0.06
 3.700; 0.06
 3.700; 0.06
 3.700; 0.06
 3.678; 0.11
 3.678; 0.11
 3.678; 0.11
 3.678; 0.11
 3.791;-0.07
 3.649; 0.12
 3.649; 0.12
 3.649; 0.12
 3.649; 0.12
 3.654; 0.08
 3.654; 0.08
 3.654; 0.08
 3.654; 0.08
 3.693;-0.02
 3.693;-0.02
 3.693;-0.02
 3.693;-0.02
 3.652; 0.07
 3.652; 0.07
 3.652; 0.07
 3.652; 0.07
 3.847;-0.16
 3.651; 0.06
 3.651; 0.06
 3.651; 0.06
 3.651; 0.06
 3.705;-0.06
 3.705;-0.06
 3.705;-0.06
 3.705;-0.06
 3.695;-0.05
 3.695;-0.05
 3.695;-0.05
 3.695;-0.05
 3.328; 1.94
 3.698;-0.07
 3.698;-0.07
 3.698;-0.07
 3.698;-0.07
 3.663;-0.01
 3.663;-0.01
 3.663;-0.01
 3.663;-0.01
 3.759;-0.18
 3.677;-0.07
 3.677;-0.07
 3.677;-0.07
 3.677;-0.07
 3.664;-0.04
 3.664;-0.04
 3.664;-0.04
 3.664;-0.04
 3.752;-0.21
 3.686;-0.12
 3.686;-0.12
 3.686;-0.12
 3.686;-0.12
 3.711;-0.17
 3.711;-0.17
 3.680;-0.11
 3.680;-0.11
 3.680;-0.11
 3.680;-0.11
 3.800;-0.30
 3.610; 0.02
 3.798;-0.34
 3.637;-0.09
 3.637;-0.09
